time;logger;level;message;exception
2011-12-07 21:33:38.4945;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenStreamHeadBySnapshotAge:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenStreamHeadBySnapshotAge : AbstractViewGenerator
{
	public Index_RavenStreamHeadBySnapshotAge()
	{
		this.ViewText = @""docs.RavenStreamHeads
	.Select(s => new {SnapshotAge = s.HeadRevision - s.SnapshotRevision})
"";
		this.ForEntityNames.Add(""RavenStreamHeads"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenStreamHeads"").Select(s => new { SnapshotAge = s.HeadRevision - s.SnapshotRevision, __document_id = s.__document_id }));
		this.AddField(""SnapshotAge"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenStreamHeadBySnapshotAge : AbstractViewGenerator
{
	public Index_RavenStreamHeadBySnapshotAge()
	{
		this.ViewText = @""docs.RavenStreamHeads
	.Select(s => new {SnapshotAge = s.HeadRevision - s.SnapshotRevision})
"";
		this.ForEntityNames.Add(""RavenStreamHeads"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenStreamHeads"").Select(s => new { SnapshotAge = s.HeadRevision - s.SnapshotRevision, __document_id = s.__document_id }));
		this.AddField(""SnapshotAge"");
		this.AddField(""__document_id"");
	}
}
";
2011-12-07 21:33:38.4945;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenStreamHeadBySnapshotAge with encoded name RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:38.4945;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:38.4945;Raven.Database.Server.HttpServer;Debug;Request #  11: PUT     -   113 ms - <default>  - 201 - /indexes/RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:38.6685;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index RavenCommitsByDispatched for: ( *:* -Dispatched:true);
2011-12-07 21:33:38.8795;Raven.Database.Server.HttpServer;Debug;Request #  12: GET     -   282 ms - <default>  - 200 - /indexes/RavenCommitsByDispatched?query=(%2520*%253A*%2520-Dispatched%253Atrue)&start=0&pageSize=1024&aggregation=None;
2011-12-07 21:33:39.0116;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-12-07 21:33:39.0116;Raven.Database.DocumentDatabase;Debug;Putting a document with key: 3cffee1d-382b-469b-b3e4-9fb201634bfd/1 and etag 00000000-0000-0000-0000-000000000000;
2011-12-07 21:33:39.0706;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key '3cffee1d-382b-469b-b3e4-9fb201634bfd/1', update: False, ;
2011-12-07 21:33:39.0706;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
